road_name,state,district,city,pothole_count,average_pothole_depth,total_crack_length,pavement_age,road_length,traffic_density,rainfall,risk_level,provenance
Visakhapatnam Survey Corridor R-0612,Andhra Pradesh,Visakhapatnam,Visakhapatnam,25,14.3,74.8,14.8,30.3,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0073,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,6.7,0.9,13.8,Low,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0807,Tamil Nadu,Salem,Salem,5,8.2,15.1,4.2,4.3,High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0348,Andhra Pradesh,Visakhapatnam,Visakhapatnam,27,15.8,62.8,16.0,7.9,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0681,Kerala,Ernakulam,Kochi,4,9.3,22.9,4.1,33.9,Low,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0447,Tamil Nadu,Salem,Salem,4,11.5,14.1,4.8,7.6,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0919,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,1.6,2.2,25.2,Low,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0444,Andhra Pradesh,Visakhapatnam,Visakhapatnam,22,17.6,85.1,17.1,21.5,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0930,Karnataka,Mysuru,Mysuru,24,12.9,127.5,12.1,15.3,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0287,Delhi,South Delhi,Delhi NCR,4,4.1,27.3,3.8,26.1,Medium,Light,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0326,Tamil Nadu,Chennai,Chennai,0,0.0,105.1,10.4,14.1,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Avinashi Road Arterial Corridor (Peelamedu - Hopes College),Tamil Nadu,Coimbatore,Coimbatore,28,14.5,98.0,14.2,14.5,Very High,Heavy,Critical Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Visakhapatnam Survey Corridor R-0300,Andhra Pradesh,Visakhapatnam,Visakhapatnam,18,16.6,101.7,15.0,4.0,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-1131,Tamil Nadu,Salem,Salem,5,13.6,24.3,8.5,32.9,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0415,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,3.5,1.6,23.2,Medium,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0801,Kerala,Ernakulam,Kochi,4,15.0,21.7,9.7,2.7,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0795,Tamil Nadu,Salem,Salem,3,14.3,23.0,5.9,33.6,Medium,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-1034,Tamil Nadu,Chennai,Chennai,1,1.7,87.6,13.6,24.9,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0112,Tamil Nadu,Madurai,Madurai,20,5.8,48.9,11.5,18.4,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0390,Karnataka,Mysuru,Mysuru,44,15.2,67.4,10.2,29.0,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0065,Karnataka,Bengaluru Urban,Bengaluru,3,4.4,29.8,6.1,33.1,Medium,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0644,Maharashtra,Pune,Pune,3,0.5,47.5,15.7,26.8,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0470,Tamil Nadu,Chennai,Chennai,1,0.5,57.6,5.2,20.8,High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0030,Karnataka,Mysuru,Mysuru,23,12.3,110.6,15.1,19.2,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-1159,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,5.8,2.0,29.0,Very High,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0121,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,3.0,2.8,1.3,Low,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-1090,Telangana,Hyderabad,Hyderabad,18,12.1,32.1,12.4,29.9,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0354,Karnataka,Mysuru,Mysuru,41,15.1,124.4,12.2,29.1,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0191,Delhi,South Delhi,Delhi NCR,3,4.4,29.2,6.7,18.7,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0009,Kerala,Ernakulam,Kochi,3,13.3,14.4,6.6,19.6,Medium,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0071,Delhi,South Delhi,Delhi NCR,6,3.1,31.5,7.0,34.7,Very High,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0240,Andhra Pradesh,Visakhapatnam,Visakhapatnam,44,13.4,112.9,14.4,21.3,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0677,Karnataka,Bengaluru Urban,Bengaluru,6,5.1,19.2,4.4,33.8,Very High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0266,Tamil Nadu,Chennai,Chennai,1,2.6,83.5,5.3,32.7,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-1172,Maharashtra,Pune,Pune,0,0.0,45.7,8.4,31.1,Very High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0830,Tamil Nadu,Chennai,Chennai,3,1.2,104.0,5.2,23.1,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0439,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,0.6,1.3,11.6,Medium,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0672,Andhra Pradesh,Visakhapatnam,Visakhapatnam,28,16.2,91.4,16.0,5.3,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0963,Tamil Nadu,Salem,Salem,2,9.3,15.0,9.6,12.7,Medium,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0435,Tamil Nadu,Salem,Salem,3,11.6,29.0,8.8,30.2,High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-1113,Kerala,Ernakulam,Kochi,2,9.6,27.3,3.4,30.0,Medium,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0278,Tamil Nadu,Chennai,Chennai,2,0.2,114.4,8.9,4.4,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0361,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,4.7,1.0,33.0,Medium,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0104,Maharashtra,Pune,Pune,1,1.7,42.7,13.0,19.6,Low,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
HITEC City - Gachibowli Financial District Axis,Telangana,Hyderabad,Hyderabad,4,2.8,19.0,3.8,8.4,Very High,Moderate,Medium Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Visakhapatnam Survey Corridor R-0456,Andhra Pradesh,Visakhapatnam,Visakhapatnam,44,13.6,99.4,14.6,30.4,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0133,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,7.2,0.8,6.6,Low,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0854,Tamil Nadu,Chennai,Chennai,1,1.0,41.0,8.8,30.3,High,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-1014,Karnataka,Mysuru,Mysuru,19,17.7,96.3,14.1,20.5,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0109,Tamil Nadu,Coimbatore,Coimbatore,1,0.9,6.0,0.7,7.5,High,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-1086,Karnataka,Mysuru,Mysuru,36,12.7,138.4,15.2,26.2,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0592,Tamil Nadu,Madurai,Madurai,26,11.7,54.3,13.9,15.1,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0113,Karnataka,Bengaluru Urban,Bengaluru,7,2.5,34.6,3.4,21.3,Very High,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0458,Tamil Nadu,Chennai,Chennai,3,3.0,40.1,5.0,22.8,Low,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0964,Tamil Nadu,Madurai,Madurai,21,8.0,23.1,9.6,9.7,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-1153,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,7.6,2.7,17.5,Medium,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0431,Delhi,South Delhi,Delhi NCR,4,4.4,33.6,8.0,28.9,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0013,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,0.1,1.4,14.4,Very High,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0994,Telangana,Hyderabad,Hyderabad,30,5.7,31.9,8.8,22.1,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0527,Delhi,South Delhi,Delhi NCR,8,2.7,13.8,7.7,18.2,High,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0597,Kerala,Ernakulam,Kochi,2,14.2,23.3,9.0,23.9,High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0174,Karnataka,Mysuru,Mysuru,23,15.6,80.1,15.1,17.8,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0154,Telangana,Hyderabad,Hyderabad,33,7.0,32.8,10.1,34.2,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0102,Karnataka,Mysuru,Mysuru,34,10.2,62.3,16.0,22.1,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0072,Andhra Pradesh,Visakhapatnam,Visakhapatnam,35,11.3,106.4,16.9,20.1,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-1199,Delhi,South Delhi,Delhi NCR,3,3.6,16.8,5.9,6.3,Very High,Moderate,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0751,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,4.5,0.4,4.1,Medium,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0974,Tamil Nadu,Chennai,Chennai,2,1.2,57.0,8.8,28.0,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0125,Karnataka,Bengaluru Urban,Bengaluru,8,4.8,36.2,5.8,20.4,High,Light,Medium Risk,IRC:82-2015 Systematic Pavement Survey
NH-48 Golden Quadrilateral Express Sector,Karnataka,Bengaluru Rural,Bengaluru,0,0.0,0.0,0.5,25.0,High,Moderate,Low Risk,IRC:82-2015 Specification Benchmark
Pune Survey Corridor R-0632,Maharashtra,Pune,Pune,2,2.1,94.3,12.1,10.4,High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0048,Andhra Pradesh,Visakhapatnam,Visakhapatnam,41,10.9,113.7,12.9,9.6,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0887,Delhi,South Delhi,Delhi NCR,3,5.8,35.9,7.4,22.3,Medium,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0508,Tamil Nadu,Madurai,Madurai,19,6.9,23.0,12.7,34.4,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0655,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,4.1,2.3,5.3,Low,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-1006,Telangana,Hyderabad,Hyderabad,23,6.2,75.7,12.9,25.1,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-1152,Andhra Pradesh,Visakhapatnam,Visakhapatnam,34,10.5,105.2,14.0,1.5,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0423,Tamil Nadu,Salem,Salem,2,13.4,6.3,6.2,32.6,Low,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0408,Andhra Pradesh,Visakhapatnam,Visakhapatnam,21,9.6,130.2,17.0,12.2,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
FC Road Youth Commercial Corridor (Shivajinagar - Deccan),Maharashtra,Pune,Pune,1,1.0,5.0,1.8,2.8,High,Moderate,Low Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Madurai Survey Corridor R-0712,Tamil Nadu,Madurai,Madurai,17,13.5,34.2,6.9,27.1,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-1164,Andhra Pradesh,Visakhapatnam,Visakhapatnam,25,13.5,126.4,15.3,12.5,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0774,Karnataka,Mysuru,Mysuru,33,9.5,121.3,15.6,12.3,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-1118,Tamil Nadu,Chennai,Chennai,0,0.0,44.4,9.2,29.5,Low,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0306,Karnataka,Mysuru,Mysuru,31,16.3,123.2,12.4,3.8,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0876,Andhra Pradesh,Visakhapatnam,Visakhapatnam,39,15.5,82.7,12.6,1.7,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-1047,Tamil Nadu,Salem,Salem,2,9.7,6.6,3.1,4.5,Medium,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0323,Delhi,South Delhi,Delhi NCR,6,4.8,33.1,6.1,30.2,Medium,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0657,Kerala,Ernakulam,Kochi,3,13.2,11.9,6.9,13.7,Very High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0394,Telangana,Hyderabad,Hyderabad,12,7.2,28.5,8.8,16.3,Medium,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0204,Andhra Pradesh,Visakhapatnam,Visakhapatnam,41,15.7,62.8,17.2,30.2,High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0782,Tamil Nadu,Chennai,Chennai,3,1.2,48.8,13.1,8.1,Medium,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0172,Tamil Nadu,Madurai,Madurai,29,9.8,68.9,10.0,3.3,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0384,Andhra Pradesh,Visakhapatnam,Visakhapatnam,40,14.8,75.7,17.2,18.7,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0335,Delhi,South Delhi,Delhi NCR,8,4.2,35.9,5.6,22.0,Medium,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0763,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,7.3,1.1,11.4,Low,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0116,Maharashtra,Pune,Pune,2,0.1,108.7,8.9,14.5,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysore Road Corridor (Nayandahalli - Kengeri),Karnataka,Bengaluru Urban,Bengaluru,12,6.5,42.0,6.5,8.5,High,Moderate,High Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Coimbatore Survey Corridor R-1045,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,4.1,2.3,29.6,Very High,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0720,Andhra Pradesh,Visakhapatnam,Visakhapatnam,27,9.8,91.4,10.8,1.6,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0847,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,8.5,2.6,10.8,Medium,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0947,Delhi,South Delhi,Delhi NCR,8,2.8,23.1,6.1,8.3,Low,Torrential,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0535,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,6.9,1.7,6.1,Very High,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0001,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,8.6,2.2,21.4,High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0212,Maharashtra,Pune,Pune,2,2.6,116.7,10.1,30.9,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-1123,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,8.9,0.7,23.9,High,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0218,Tamil Nadu,Chennai,Chennai,0,0.0,100.5,12.8,17.1,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0878,Tamil Nadu,Chennai,Chennai,0,0.0,108.1,6.9,30.0,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0634,Telangana,Hyderabad,Hyderabad,28,12.5,30.2,6.2,27.5,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0308,Maharashtra,Pune,Pune,0,0.0,83.9,10.3,11.7,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0929,Karnataka,Bengaluru Urban,Bengaluru,4,4.1,32.6,5.0,15.4,High,Light,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0675,Tamil Nadu,Salem,Salem,4,10.8,5.9,9.7,23.7,High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0852,Andhra Pradesh,Visakhapatnam,Visakhapatnam,20,15.4,68.4,16.7,23.8,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0951,Tamil Nadu,Salem,Salem,2,9.4,33.4,4.5,12.1,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-1059,Tamil Nadu,Salem,Salem,2,10.4,8.0,4.9,28.7,Low,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-1175,Delhi,South Delhi,Delhi NCR,8,4.6,30.8,7.7,31.0,Very High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0487,Maharashtra,Mumbai Suburban,Mumbai,1,0.4,6.1,1.9,11.0,Very High,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0922,Telangana,Hyderabad,Hyderabad,32,11.6,68.8,8.1,27.3,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0628,Tamil Nadu,Madurai,Madurai,22,10.2,54.2,12.9,13.9,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0678,Karnataka,Mysuru,Mysuru,34,15.4,109.8,17.9,11.6,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0943,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,7.6,0.8,33.4,Medium,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0396,Andhra Pradesh,Visakhapatnam,Visakhapatnam,44,14.7,70.1,15.4,12.1,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0333,Kerala,Ernakulam,Kochi,3,13.3,5.3,4.8,9.9,Low,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0615,Tamil Nadu,Salem,Salem,3,14.0,11.8,6.7,29.1,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-1001,Karnataka,Bengaluru Urban,Bengaluru,6,5.0,30.0,7.9,8.7,Low,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0668,Maharashtra,Pune,Pune,3,1.0,78.4,11.8,32.0,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0359,Delhi,South Delhi,Delhi NCR,8,6.0,31.4,6.7,33.3,Low,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0315,Tamil Nadu,Salem,Salem,3,10.1,10.3,7.8,22.0,Very High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0352,Tamil Nadu,Madurai,Madurai,17,6.5,30.9,9.1,14.7,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0014,Tamil Nadu,Chennai,Chennai,2,2.4,95.1,13.0,27.2,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-1119,Tamil Nadu,Salem,Salem,4,12.1,14.0,4.1,10.7,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0903,Tamil Nadu,Salem,Salem,2,12.8,15.2,6.8,2.4,Medium,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0440,Maharashtra,Pune,Pune,0,0.0,80.1,14.3,20.7,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0832,Tamil Nadu,Madurai,Madurai,16,10.1,59.8,11.4,32.7,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0556,Tamil Nadu,Madurai,Madurai,13,13.7,26.8,9.2,26.1,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0054,Karnataka,Mysuru,Mysuru,27,16.4,88.8,11.0,18.8,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0357,Kerala,Ernakulam,Kochi,2,8.7,11.6,7.2,26.0,High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0541,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,1.9,2.1,6.3,Low,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0544,Tamil Nadu,Madurai,Madurai,22,12.6,20.7,11.6,34.0,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0029,Karnataka,Bengaluru Urban,Bengaluru,4,5.9,18.3,6.4,26.9,High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0858,Karnataka,Mysuru,Mysuru,31,17.8,80.0,10.6,23.5,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-1146,Karnataka,Mysuru,Mysuru,19,17.4,65.3,14.4,21.1,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0693,Kerala,Ernakulam,Kochi,5,12.9,30.9,4.6,30.7,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0438,Karnataka,Mysuru,Mysuru,18,12.1,72.4,10.2,23.0,Very High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0918,Karnataka,Mysuru,Mysuru,26,16.4,68.1,16.3,28.6,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0925,Tamil Nadu,Coimbatore,Coimbatore,1,0.6,7.7,0.3,2.7,High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0923,Delhi,South Delhi,Delhi NCR,7,4.8,23.4,4.4,20.0,Medium,Moderate,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Old Mahabalipuram Road IT Expressway (Tidel Park - Sholinganallur),Tamil Nadu,Chennai,Chennai,4,2.5,18.0,3.0,14.8,Very High,Heavy,Medium Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Visakhapatnam Survey Corridor R-0336,Andhra Pradesh,Visakhapatnam,Visakhapatnam,27,12.0,134.2,11.8,13.7,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0776,Maharashtra,Pune,Pune,2,2.4,62.0,11.4,12.8,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0495,Tamil Nadu,Salem,Salem,4,11.1,16.0,4.3,15.8,Very High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Delhi-Meerut Expressway (Package 1),Delhi,East Delhi,Delhi,0,0.0,1.5,1.0,14.0,Very High,Light,Low Risk,IRC:82-2015 Specification Benchmark
Delhi NCR Survey Corridor R-0107,Delhi,South Delhi,Delhi NCR,7,3.2,27.1,4.7,19.3,High,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
